,S3KO_126_Proteins_norm,S3KO_127C_Proteins_norm,S3KO_129N_Proteins_norm,S3FL_127N_Proteins_norm,S3FL_130N_Proteins_norm,DFC_128N_Proteins_norm,DFC_129C_Proteins_norm,DKO_128C_Proteins_norm,DKO_130C_Proteins_norm,DKO_131_Proteins_norm
77,25.50395429613584,19.124380597593085,32.44439559666092,25.25172744304292,22.521909431592757,22.11474727514546,30.459306219603906,30.992794535588875,32.62346859680028,25.327475852385056
78,11723.005109664266,11514.581272477557,11200.61102616673,11643.542719735253,11526.673734967362,11090.681154897336,11334.35329661901,11336.10916726188,11123.206068082729,11252.039440667455
79,7237.309618755667,8417.757067788101,7921.440720878709,7217.001311725338,7118.997766778325,7717.9565347511725,8617.335024824462,7164.061389370074,7379.887520007675,7119.392201023234
81,4859.253409716705,5090.87224501869,5185.11523587576,4965.276931519093,5147.738009686813,5963.850886596472,5652.548957773214,5661.020757920735,5410.906552954311,5337.931539945363
83,272.1984533885381,243.40981443768231,154.8185588538652,230.43401468936503,245.46905674345612,192.71422625483902,154.94516642146334,155.5134903115541,210.80547139155652,243.21965575099355
84,21.003256479170695,14.769323629824363,26.020840763764966,20.35500463089391,20.842644254675754,23.017390021069765,33.10794154304772,25.38771467276961,21.549447146510275,17.169562281953915
86,5386.022583377335,5089.357442595119,5189.470188304842,5292.877289069141,5213.229351586576,4728.042703151507,4960.532783266165,5077.213223973756,5106.620377968865,5268.304696216334
87,26794.998217839868,24408.39015161717,24177.933769588188,27854.09558226815,29808.83371606278,36186.76715555618,25389.095855444226,33916.997671079705,29519.749611948722,23174.0712481716
89,3149.9258846484836,3265.06194885739,3534.0438962000453,3223.9638938497915,3416.514392589906,3617.1602757424657,3603.588750060016,3509.1097047050257,3420.4759047134476,3382.7832073854065
90,816.5015956277607,697.4718409033082,512.3601532814977,692.7422566599037,646.2207521994728,502.68174520524514,372.0128704291544,545.3412995942979,616.3540947737984,736.2991294614712
93,7289.161408188618,6867.262112110963,5944.29231807548,6181.392444042217,6209.92262423908,6036.513627643379,6096.676944508861,6268.237743059489,5793.808303640914,6438.206417892234
95,177.68379923226993,396.7835598243199,248.9944051327635,207.96669825715193,169.60578286861735,216.81478757101792,317.1138837250462,151.55696334956406,198.43449247411542,232.69025567753013
96,128.45741685921362,132.45053691105312,122.37416325720429,134.32382772934238,149.65216135466238,118.33646399067631,113.89131890808417,155.0738762046663,138.27561919010756,140.48686043963397
97,146.08514997566047,134.7227405464107,113.33763696685912,139.7966355782148,129.4021989271338,108.13660096173167,109.91836592291844,125.29002046301886,132.48919356743355,142.3840496420598
98,360.3371189707722,434.0855695047738,432.77339764002403,354.6763542760477,383.0700209461259,566.5888516166859,470.0123773965757,428.9534647957567,435.079347249682,410.2671650245894
99,11768.762204136743,11592.688272442974,11849.172316667768,11439.992673426314,11493.977454169742,11659.255820555056,12497.94695121376,11597.459753806668,11328.62417768766,11087.268558436772
100,12196.140967672727,11854.465066266463,11398.1081188256,11937.058045945832,12242.633382161152,11281.31930283655,10416.23997950162,11369.959453492238,10992.911725613554,11662.306605692045
101,24.378779841894556,19.976456960852186,26.238588385219067,27.844110108298274,26.17678069900035,20.12893323411199,27.569885866756103,24.06887235210625,25.04125571191703,24.094302870808257
103,7089.255413485083,6841.794496364663,7700.100263670616,7148.351178182465,7153.9659945800095,6992.953881224772,7833.940931658602,7168.347626912229,6895.424023047241,6887.271102106431
106,2081.291446732821,2740.750959998625,2731.2084158987777,2834.0503381608282,2862.8507857299173,4308.404090571298,2947.0883673900557,2821.5532415325292,2940.9009397445825,2786.1172032224777
108,7923.2909776914385,7336.188137357886,7508.700104412462,7454.252332682597,7390.446043611733,6832.193208175653,7179.728006767979,7275.613468992849,6843.445958402186,6868.014631701809
109,12817.518560027476,12652.197892579925,12025.983385288495,12386.88444545403,12334.103944150867,11156.483811075217,11264.525638091856,11943.436055927355,12623.785857576531,12824.050413797513
110,11228.772230638779,10979.571991502316,10817.701833839696,10948.784165446817,11083.94041008842,9474.679846869054,10269.120326535789,10100.13410574687,10550.050633560963,10744.446469558421
114,14546.255344431362,13989.67375744229,14874.448895340307,15223.143109588966,15295.043572273642,14958.234528359202,13653.715092352882,15761.704381301215,15756.43697054145,15919.599175935646
117,2709.7951439644335,2501.5068522257648,2648.46431974622,2542.6473237515684,2456.7649538295764,2409.9658673433005,2666.8145931638187,2822.4324697463044,2803.1241503495326,2765.058403075551
118,737.0830320658965,694.536911207638,744.9146129944767,744.4938957922235,742.0376475882666,667.2335177872459,747.9986938434745,696.78835941714,738.268096686,728.2360753511614
121,3688.228096465086,3716.283720778819,3795.7765371878736,3741.864341864139,3629.4847291447923,4152.788481173948,4211.3301642756705,3770.350387723092,3633.077163367213,3578.857711456118
123,7990.051328643087,8148.122236392333,7955.409349825549,8365.714874951824,8584.502364704247,7489.678184306917,7278.449868823613,8031.639829313118,7492.82258560883,7876.9398495518735
124,17252.206142343803,15880.336532362753,16619.913828916375,16748.136215968625,16827.126095449097,16169.400564840438,15184.74670181811,16522.12688269036,17900.706727578236,17661.218863762573
125,12177.763118253451,12304.645411521687,12088.803574078005,12058.419960348898,11930.882741081738,11726.502705126417,12072.35941174222,11886.066414978499,12179.627808056792,11945.841531994589
126,78.10586003191602,86.3437381435886,91.78062244290321,73.93091304617128,87.7169104177823,95.31907396960655,104.13952521722284,90.12089191199603,81.80808638952973,89.54733035449998
127,294.23311978409663,309.11436956010607,318.45589637662147,297.3558931220681,316.19575478301937,480.20594083173,379.23642131127394,333.33739654766333,314.46230280463135,304.8783048298336
128,5947.765929657297,6170.926373025333,6163.128677636851,5981.8749929903415,5885.034202657901,5566.146492742224,6330.719993089532,5876.321766769029,6262.508779077512,5935.16670086902
130,12707.063934436124,14964.733142465117,15593.995910435382,15000.486242895366,15214.438843781627,19204.89785510928,15955.49958094026,16084.820749863738,15538.149052224022,15450.519145635855
131,237.78686799632536,340.7358701521659,284.92276267269,293.6113403833659,325.4811034083251,989.7477709059999,356.48223603259754,552.1553182510585,345.1902181802108,307.1549318727446
133,9935.477960026274,9508.79351336564,9690.749019003999,10112.02064960606,10083.691046473034,9246.582024973983,9336.921085198266,9791.634906238367,9869.147963306646,10027.403810501572
135,965.0246235876107,1358.588423640895,1205.2330847484443,1240.5031124110817,1321.6804745382065,1719.8052238095772,1157.4536363449483,1176.407350031714,1206.9685721225985,1253.2831871225146
136,5222.309700285228,5255.607008582116,5184.570866822124,5098.640617520563,5243.653685380131,5014.541510707881,5592.232307907516,5487.922703333669,5441.8340002479135,5168.13310632825
137,7026.808231274692,6702.243323093117,6855.457240050161,6976.485808893314,6989.0028860240445,6753.392496456461,6511.067980113116,7025.253235120255,7029.609237917872,6947.032561982845
139,9329.102693728073,9373.50272191039,9039.357009424059,8930.854295977491,9332.565610868509,9542.016995715008,9359.55487796224,9225.631743620343,9457.912680260742,9757.528646456494
140,12598.48459960184,12928.744010033239,12364.036567595986,12461.19941519135,12506.969477068795,12668.229881949244,12686.000059178274,12256.661107084903,11947.671953354773,12370.906772798098
142,2778.1494920595915,2645.6024327680257,2587.3861119283447,2587.4859424432075,2657.288972014371,2122.11309566804,2707.3868706183903,2568.994937125496,2553.7092528204785,2412.3709303445858
144,22615.63147209846,22215.808318648567,21762.023909554948,24382.223094281715,26113.7588647137,23416.89970041586,19640.714455968227,25147.355659828714,23180.820108268308,23629.01721891332
147,9568.57732340576,9925.553530150812,10293.909930431857,9953.501250334337,10174.07502511298,12311.685997309143,10249.616739154066,10448.748092508886,10340.741651554581,10111.733870549402
148,3063.2874516719044,3001.2023017014894,3094.846943727125,3016.4772664565753,3144.0783127112536,2919.8687545159405,2984.289654432971,3040.3711632359245,3066.8055800172488,3027.249950850803
149,11552.916237998124,12166.609040673711,11676.280705233212,11660.153171627446,11542.478583691287,12362.233991080904,12213.820616517061,11292.037853046379,11569.658734659737,11516.128177645134
151,9725.445395234567,10332.27798087982,10221.726593919822,10978.836601529223,11285.254670709412,10549.095507342754,9966.45354457498,11034.314082883415,10483.007909105154,10939.287800647555
152,113.64261987837001,123.55107267256919,118.12808463884933,118.38547504666128,117.54856238419026,103.62338723211015,100.16657223205712,115.17889600459979,116.42687416656244,131.00091442750474
154,2819.499653252959,3530.6257487398084,2984.6666472713505,3227.516418242919,3398.7339377754906,6274.721048292803,3488.493506004912,5398.021618475118,3341.8603290122896,3350.815569324531
155,26292.420294945427,28711.18643577267,27449.700655746772,29077.412157750314,28067.139386686275,27965.6775542268,26695.47503247554,25682.585834964593,27367.199280313976,28027.555525277523
156,23677.13980513726,23704.95377617105,24484.522420595564,24856.43709367787,23876.68130814668,24472.540391774335,23788.11619493714,22869.27535793621,22693.263866578513,22839.881370164287
159,7498.5376212153515,6866.504710899177,7147.892295663019,7178.307600092083,7161.868418941972,6541.542243988028,6675.283370166634,6761.704578041028,6488.877740074883,6496.450126406707
161,3262.818388224026,3845.1366019338893,3440.521292785509,3410.4234174026024,3642.4249490375055,6824.159687736927,4006.6628892822846,5613.5424343768545,3813.1547193831902,3561.4984302539215
163,462.0716425417553,512.3819197731376,494.0693530793532,418.62179335234646,445.4991734056286,579.1355857850338,604.8519938628064,571.1686283739554,531.852327490955,484.82670067992524
164,8144.575287025558,8630.58680829993,7918.06563274617,8114.637813113202,8026.097303227081,9162.54598532843,7984.913145094899,7795.567053914378,8280.774129882619,8140.4594297688245
167,14662.617135907481,15995.461516554204,15591.927308031567,14904.664098453704,14861.101694497385,15399.26577401782,14323.097474095955,15218.7809592948,14870.315722600228,15515.972173119546
