,S3KO_126_Acetyl_norm,S3KO_127C_Acetyl_norm,S3KO_129N_Acetyl_norm,S3FL_127N_Acetyl_norm,S3FL_130N_Acetyl_norm,DFC_128N_Acetyl_norm,DFC_129C_Acetyl_norm,DKO_128C_Acetyl_norm,DKO_130C_Acetyl_norm,DKO_131_Acetyl_norm
8275,122.26895736088655,129.70495751832934,105.06322735160332,108.11195855842709,95.22421356164656,84.2165681947376,84.03397526199022,157.38185026582718,189.25602424504623,212.67490959193745
8276,289.7324219671315,301.91905804814036,349.4849324338307,286.8903482882595,257.71781450449777,268.2654240887033,389.10860751683725,489.4004044928272,515.3909442540373,525.7111279922023
8277,75.76174658558,104.04799146908319,94.93796295398766,88.14101061868212,72.10962230290663,76.99542622734317,81.26494742384442,130.5653897456723,155.43536414010651,151.96485511431032
8278,14.439738829429853,13.7278969636188,14.69796444815176,9.985473969872485,8.890227407207666,10.10959875435221,13.724746676027058,10.550738565306851,18.45670241715,21.343378527290778
8280,84.57561314380342,72.33181572555009,91.9983700643573,11.329672388893782,11.359735020320906,7.040613418209575,6.741980823311536,126.93857336384805,145.25923632092108,137.8307955562378
8281,29.62959396168723,30.76942422880076,38.976824240283925,2.8804251836170627,1.8768257859660629,0.9026427459243045,3.130205382251785,45.609963589607744,57.06612855464758,53.50073550840889
8282,47.819914305254706,47.71627634250948,46.92461242335858,1.2481842462340607,3.3585303538340074,2.9787210615502047,4.695308073377677,72.5363276364846,69.53687343110028,72.28290861242478
8343,25.785247909696164,24.71021453451384,17.63755733778211,23.52347233287268,25.781659480902235,19.67761186114984,13.604354161325066,28.355109894262164,25.939149343021622,26.750367754204444
8737,42.569100185462034,31.810850895006322,30.15804557139287,9.601417278723543,16.39753055107192,10.10959875435221,6.140018249801577,47.80803412404667,60.75746903807757,59.76145987641418
9471,20.25314017634317,19.692431506432484,21.557014523955914,10.369530661021427,11.952416847468085,10.199863028944641,13.122784102517098,24.618389985715986,34.1199579819746,46.386275999311955
9472,12.56444807236104,17.514903022548122,17.31093590560096,5.088751157723477,3.7536515719321257,3.791099532882079,1.2039251470199173,21.21138065733565,25.34055358895189,27.129805594689614
9715,16.783852275765867,18.745679991700154,23.625616927769865,7.873162168553304,5.23535613980007,6.589292045247422,20.3463349846366,30.113566321813302,28.33353235930054,31.777919140632935
9716,8.626337482516535,9.562190298796542,6.205807211441854,2.3043401468936504,1.086583349769826,1.805285491848609,6.380803279205561,6.814018656760675,9.378000147092434,15.556951459891945
10034,4.59446235481859,7.289986663438949,6.0969334007148035,6.817006267893715,2.2719470040641814,0.9929070205167351,3.009812867549793,10.990352672194636,11.074021450290001,9.106508171644066
10035,209.46997756458632,217.46882293401643,234.29644068461172,122.80212699487411,95.52055447522015,104.70655852721931,98.48107702622923,358.50530416698905,367.4380270398025,419.18395427599086
10973,13.033270761628243,8.615438784064212,8.709904858164006,2.016297628531944,3.8524318764566554,1.805285491848609,7.945905970331453,13.957747893687188,12.570510835464326,15.556951459891945
11056,5.250814119792674,5.301808482501054,2.9395928896303523,8.257218859702247,4.741454617177422,4.422949455029093,2.5282428087418265,6.704115130038728,9.378000147092434,10.339681153220866
11059,62.8222403618052,60.308071488449485,71.9655888905801,45.318689555575126,40.20358394148356,25.273996885880525,41.294632542783155,105.9469997599563,102.06057606888892,106.90661155669648
11060,22.222195471265422,17.609578174021358,21.992509766864114,15.362267645957669,12.742659283664322,13.178584090494844,11.437288896689214,37.916716719071495,36.31480908023027,35.76201646572722
11061,7.501163028275248,5.5858339369207535,1.8508547823598511,1.4402125918085313,1.086583349769826,0.9026427459243045,5.899233220397595,13.188423206633564,10.076361860173785,9.485946012129235
11062,163.15029586498665,173.82357810485595,193.79538309414912,27.940124281085513,24.398735217558816,25.093468336695665,34.79343674887561,264.31798176628104,272.06177022469217,292.07227771345913
11063,88.41995919579448,93.63372480702753,104.40998448724102,17.666607792851316,8.890227407207666,11.914884246200819,13.122784102517098,124.74050282940912,141.9669596735376,155.37979567867689
11064,195.6865905001305,208.09598293816637,249.75652180785286,34.9491588945537,20.546303341102163,29.155360693355032,24.800858028610296,314.65379700493247,317.45528157498,340.1660239949544
11977,13.783387064455768,16.946852113708722,22.319131199045263,9.02533224200013,14.224363851532267,11.373298598646237,15.891811940662906,31.762119222642497,36.01551120319541,34.33912456390783
11978,14.439738829429853,9.18348969290361,11.322876315613208,4.896722812149006,1.2841439588188852,1.3539641188864566,4.93609310278166,19.452924229784507,15.463723646801352,15.462091999770653
11979,50.44532136515104,63.243001184119706,60.969334007148035,12.57785663512784,15.607288114875681,14.622812483973732,16.012204455364902,87.59311079739126,103.45729949505163,105.86315749536226
11980,5.344578657646115,6.911286057546016,8.601031047436956,0.8641275550851188,0.6914621316717073,4.06189235665937,3.611775441059752,8.79228213775571,10.37565973720865,8.347632490673728
12227,17.53396857859339,12.023744237100603,20.794897848866565,14.402125918085314,18.96581846870969,8.394577537096032,9.390616146755354,28.794724001149948,32.324170719765405,27.319524514932198
12228,61.884594983270794,58.793269064877755,69.24374362240384,65.2896374953201,49.587712871313876,45.222401570807655,61.52057501271777,110.78275493572194,103.35753353604001,117.62573055040251
12229,58.884129771960694,56.23703997510046,26.238588385219067,42.72630689031977,36.054811151453315,27.259810926913996,17.33652211708681,60.4469396970705,75.82212884883243,94.66974120104976
12230,112.14238727271496,113.04213085904033,131.8461847904576,126.45066556078905,88.30959224492949,102.35968738781614,134.47843892212475,225.6319403601559,217.2902587273119,201.57635275774624
12231,34.97417261933334,24.42618908009414,26.129714574492017,18.05066448400026,23.213371563264463,6.499027770654992,10.714933808477264,37.36719908546176,42.500298538950815,46.86057329991842
12232,209.37621302673287,216.90077202517702,205.6626284633976,166.20053309470453,168.1240783007494,52.44354353820209,129.06077576053514,328.9412554787855,354.6679842863149,341.1146185961673
12233,57.00883901489188,47.810951493982714,34.404124189747826,43.494420272617646,40.10480363695903,26.35716818098969,17.697699661192782,67.04115130038728,94.9771929790638,99.03327636662922
12234,56.72754540133156,47.810951493982714,36.79934802574292,35.237201412915404,32.004818665947596,25.273996885880525,33.10794154304772,69.01941478138231,80.2118310453438,85.94267086989086
12235,30.098416650954434,15.24269938719053,19.923907363050162,15.55429599153214,9.680469843403904,4.513213729621523,22.152222705166476,27.805592260652432,29.33119194941676,33.4853894228162
12236,10.032805550318143,12.781145448886468,15.13345969105996,6.913020440680951,6.124378880520837,1.5344926680713176,4.334130529271702,22.859933558164844,21.848745023545135,18.213016343288132
12237,7.032340339008045,15.526724841610227,24.823228845767417,6.432949576744774,8.29754558006049,7.311406241986866,10.353756264371288,32.86115448986196,33.720894145928106,24.094302870808257
12335,9.001395633930297,8.899464238483912,9.254273911799256,8.545261378063953,5.828037966947249,7.311406241986866,8.42747602913942,14.50726552729692,14.266532138661894,17.45414066231779
12336,23.06607631194639,28.78124604786286,30.26691938211992,19.874933766957735,16.29875024654739,11.012241500276515,17.216129602384818,31.322505115754716,36.713872916276756,46.575994919554546
12337,8.813866558223417,8.899464238483912,9.580895343980407,10.177502315446954,6.321939489569896,6.860084869024714,9.87218620556332,12.309194992857993,16.361617277905946,17.45414066231779
12338,73.2301040635371,57.37314179277926,61.187081628602144,46.95093049295812,46.72308404010251,51.08957941931563,37.321679557617436,95.50616472137139,101.0629164787727,110.79584942166946
12339,177.4025056187096,163.40931144280032,181.71039010344657,146.70965601889574,121.79611547874502,139.0069828723429,143.14669998066816,282.67187072884605,311.07026019823627,310.75959135735377
12340,67.22917364091691,92.49762298934874,95.04683676471471,47.91107222083048,46.426743126528926,46.576365689694114,91.97988123232169,145.0726552729692,135.88123617382865,93.24684929923038
12443,15.096090594403938,10.887642419421807,20.359402605958362,14.018069226936372,14.224363851532267,12.27594134457054,23.837717910994364,22.969837084886787,16.860447072964053,16.60040552122616
12444,24.191250766187675,19.408406052012786,15.13345969105996,21.98724556827691,18.76825785966063,12.817526992125122,7.464335911523487,33.41067212347169,35.5166814081373,38.70265972948727
12445,9.4702183231975,8.615438784064212,10.778507261977957,5.664836194446891,8.890227407207666,10.560920127314361,13.845139190729048,15.716204321238331,16.261851318894326,13.375183877102222
12446,14.814796980843616,19.88178180937895,15.02458588033291,13.826040881361902,15.80484872392474,12.727262717532692,16.85495205827884,29.124434581315786,30.927447293602704,31.777919140632935
12447,7.8762211796890105,2.3668787868308274,6.750176265077105,5.3767936760851835,1.7780454814415334,4.513213729621523,6.862373338013529,10.550738565306851,13.368638507557298,12.90088657649576
12500,11.720567231680075,10.224916359109175,12.95598347651896,8.545261378063953,8.791447102683136,7.672463340356588,10.714933808477264,15.056783160906651,18.855766253196485,22.291973128503702
12935,158.93089166158182,156.30867508230784,157.54040412204145,113.48875223451228,117.94368360228837,98.02700220737947,93.54498392344757,218.37830759650743,234.45000367731083,255.93082340724678
13196,7.032340339008045,2.0828533324111285,10.234138208342706,5.1847653305107135,8.396325884585018,4.332685180436662,5.056485617483653,14.177554947131082,9.77706398313892,9.675664932371818
13197,14.15844521586953,15.24269938719053,17.528683527055062,6.72099209510648,5.729257662422718,6.228234946877701,8.186690999735438,23.29954766505263,18.356936458138378,24.66345963153601
13198,8.907631096076857,9.088814541430377,9.907516776161556,2.2083259741064145,2.0743863950151225,4.332685180436662,5.538055676291619,14.287458473853027,11.373319327324866,14.134059558072561
13393,15.56491328367114,14.39062302393143,14.48021682669766,6.432949576744774,10.47071227960014,8.755634635465753,6.380803279205561,26.047135833101287,26.637511056102973,29.406432637600627
13525,6.469753111887401,2.5562290897772937,21.557014523955914,6.913020440680951,6.618280403143485,1.173435569701596,4.93609310278166,16.92514311517974,5.287595827615946,2.5612054232748935
13564,4.78199143052547,9.562190298796542,2.3952238359951017,2.3043401468936504,3.6548712674075965,6.769820594432284,5.899233220397595,6.374404549872889,9.976595901162163,9.580805472250526
13565,7.594927566128688,8.615438784064212,2.3952238359951017,5.1847653305107135,3.0621894402604184,0.6318499221470131,0.6019625735099586,9.451703298087388,14.865127892731623,17.928437962924253
13566,400.4683411720448,382.582287103335,414.04710219497144,38.213640769319696,44.74747794961192,30.59958908683392,30.820483763709884,494.0163526151489,621.9409884784492,648.0798315486694
13567,778.1518996457036,928.7632359524167,994.4533871808753,39.65385336112823,43.95723551341568,47.569272710210846,60.677827409803825,1203.7733281854785,1358.5130638612518,1350.4192742867178
13568,82.70032238673461,90.13074420251792,115.51511318140011,4.992736984936243,0.2963409135735889,4.422949455029093,1.2039251470199173,118.47600180625818,149.54917255842082,144.47095776472827
14309,10.97045092885255,8.615438784064212,7.294545318712355,1.2481842462340607,4.741454617177422,2.4371354139956223,0.9631401176159339,14.836976107462759,10.176127819185405,14.987794699164192
14310,19.596788411369083,27.7398193816573,18.72629544505261,2.8804251836170627,2.864628831211359,6.408763496062561,4.574915558675685,38.13652377251539,49.68344758778757,49.6114976434359
14439,150.3045541790653,119.2906908562737,121.93866801429607,78.92365003110753,61.540129718781955,40.16760219363155,41.89659511629312,158.26107847960276,188.25836465493,199.20486625471392
14440,6.751046725447723,6.343235148706618,9.363147722526305,3.6485385659149463,0.49390152262264814,0.09026427459243046,7.464335911523487,8.902185664477654,9.477766106104054,7.873335190067266
14441,15.283619670110818,12.591795145940003,16.548819230511608,1.1521700734468252,0.19756060904905925,1.0831712951091654,1.0835326323179255,21.870801817667324,29.23142599040514,31.0190434596626
14462,41.06886757980698,48.75770300871505,37.99695994374047,33.02887543880899,30.819455011653243,31.95355320572038,36.47893195470349,35.93845323807646,45.89234114534595,51.12924900537657
14887,23.62866353906703,17.514903022548122,17.746431148509163,18.434721175149203,15.903629028449272,8.03352043872631,10.47414877907328,26.157039359823237,32.124638801742165,41.45358407300476
14888,231.2233503465845,175.24370537695447,196.9527236052336,185.21133930657714,144.7131461284359,116.5311784988277,139.65531705431042,316.5221569592055,367.83709087584896,431.13624625127375
14889,15.283619670110818,6.532585451653084,8.709904858164006,1.6322409373830022,1.7780454814415334,1.5344926680713176,0.7223550882119504,15.386493741072492,17.85810666308027,16.505546061104866
14890,9.37645378534406,5.301808482501054,5.552564347079553,5.280779503297949,0.19756060904905925,5.957442123100409,8.668261058543404,11.539870305804369,10.97425549127838,14.323778478315145
15028,7.126104876861485,4.544407270715189,7.185671507985304,6.624977922319245,6.914621316717074,3.1592496107350656,3.370990411655768,8.902185664477654,14.964893851743245,11.28827575443379
15168,19.971846562782847,24.236838777147675,19.27066449868786,4.224623602638359,6.124378880520837,0.09026427459243046,4.815700588079669,30.663083955423033,27.63517064621919,33.76996780318008
15240,101.35946541956928,85.30231147738301,48.66659339499138,42.24623602638359,33.38774292929101,28.704039320392884,20.10554995523262,92.75857655332274,146.05736399301406,180.42269315069802
15241,23.81619261477391,21.207233930004215,23.081247874134615,1.4402125918085313,1.1853636542943555,1.3539641188864566,1.2039251470199173,22.090608871111222,42.699830456974055,35.287719165120755
16058,10.501628239585347,14.863998781297596,12.084992990702558,7.969176341340542,11.260954715796379,6.769820594432284,5.658448190993611,16.485529008291955,16.760681113952433,20.774221766563024
16059,35.63052438430743,48.85237816018828,40.718805211916724,27.07599672600039,32.10359897047213,34.21016007053114,32.385586454835774,60.00732559018272,55.17057533342676,67.16049776587498
16060,8.626337482516535,10.13024120763594,9.798642965434507,8.929318069212895,4.148772790030245,6.04770639769284,2.648635323443818,11.979484412692154,12.570510835464326,12.995746036617051
16061,10.407863701731905,9.46751514732331,6.532428643623004,5.760850367234125,2.4695076131132407,3.881363807474509,2.7690278381458096,5.055562229209532,9.078702270057567,12.616308196131882
16062,719.0802407980359,881.1416347613805,825.4812329324936,220.44854071949254,245.96295826607877,220.96694420226976,243.79484227153324,866.9190187827129,839.0317152877379,935.6937146364277
16063,113.54885534051657,148.8293381159224,157.54040412204145,42.054207680809114,39.31456120076279,53.43645055871883,61.40018249801578,198.15605867966931,210.20687563748677,226.52439076964615
16219,12.56444807236104,14.485298175404665,16.87544066269276,7.681133822978834,1.8768257859660629,3.9716280820669403,1.2039251470199173,23.958968825384307,24.841723793893784,31.11390291978389
16220,9.4702183231975,8.615438784064212,8.709904858164006,2.4963684924681213,1.086583349769826,5.1450636517685355,2.648635323443818,11.100256198916583,13.867468302615407,13.849481177708682
16863,32.16123648373012,38.15408604371294,35.27511467556422,6.240921231170303,3.8524318764566554,4.1521566312518,10.112971234967306,45.500060062885794,43.89702196511352,39.27181649021503
17321,12.56444807236104,14.295947872458198,17.528683527055062,3.7445527387021817,5.3341364443246,1.3539641188864566,0.7223550882119504,15.276590214350545,16.561149195929193,26.27607045359798
17322,32.25500102158357,37.017984226034145,40.17443615828147,17.85863613842579,15.212166896777562,14.803341033158592,14.206316734835024,53.96263162047567,75.12376713575108,75.31841133630613
17323,68.3543480951582,55.66898906626106,54.219157742070934,22.371302259425857,20.447523036577632,19.587347586557406,12.52082152900714,91.87934833954715,99.46666113458677,100.74074664881248
17324,53.8208447278749,56.899766035413094,62.60244116805379,12.865899153489549,12.643878979139792,9.297220283020337,13.002391587815108,85.17523320950843,86.6966183810992,91.63423847716841
17325,87.57607835511352,122.60432115783686,148.0683825887881,1.0561559006595898,2.370727308588711,3.068985336142635,5.056485617483653,136.61008371537932,145.3590022799327,150.73168213273354
17326,367.18193023407343,312.99605077050865,341.6460180614831,4.512666121000065,2.2719470040641814,0.9026427459243045,0.842747602913942,388.94858106896817,423.40673004532215,438.25070576037064
17641,6.000930422620199,4.8284327251348875,2.068602403813951,5.664836194446891,5.03779553075101,5.596385024730688,7.584728426225478,7.803150397258191,7.482446925871622,6.165864907884003
17643,27.191715977497775,18.93503029464662,16.76656685196571,15.55429599153214,12.940219892713381,11.283034324053807,14.206316734835024,23.739161771940417,26.737277015114596,30.639605619177427
17645,6.188459498327079,7.479336966385415,6.750176265077105,1.6322409373830022,1.2841439588188852,1.624756942663748,3.7321679557617435,9.67151035153128,9.77706398313892,14.51349739855773
