,DKO_Sham_126_Acetyl_norm,DFC_Sham_127N_Acetyl_norm,DFC_TAC_127C_Acetyl_norm,DFC_Sham_128N_Acetyl_norm,DKO_TAC_128C_Acetyl_norm,DFC_TAC_129N_Acetyl_norm,DKO_TAC_129C_Acetyl_norm,DKO_TAC_130N_Acetyl_norm,DFC_TAC_130C_Acetyl_norm,DKO_Sham_131N_Acetyl_norm,DFC_Sham_131C_Acetyl_norm
6707,2305.9508415577516,599.2497545681789,490.471330622632,407.31587769809454,1310.5866358038418,384.4119479407655,1425.7429942709948,1107.6800346838847,404.90420403585614,2431.4408679093017,492.118280773571
6708,110.4282283865331,38.408221263550395,32.864256296189915,31.99769685019977,78.28582339917632,28.72940634488256,82.26364143157272,53.28424137492801,15.299780992686275,120.85769188911524,26.19166809330736
6709,19.134546470425136,12.327307089892832,5.723550253830828,12.639659609865388,47.12245843724526,9.368284677679094,101.47850658347292,21.765257917555342,6.659904667404613,63.180422117164454,10.690476772778515
6710,637.4374286864014,84.45733535141453,67.75944977922303,30.2896347407585,323.1716428751122,55.27287959830666,269.8487624769984,279.96804790216413,56.6991883846609,594.234623430282,49.532542380540455
6715,631.1544432782022,169.52594212877415,139.67308925880715,98.04276508192882,338.6994094997422,126.47184314866777,323.77047780951835,320.1570096171522,111.23840768800137,594.9754323998301,160.2680642852379
6716,12.661167565007675,1.4262999938718979,1.7539912068191246,5.351927942915975,8.734368726354383,1.5613807796131824,6.364924081566941,6.592795966728381,1.8899729461553634,12.487922629523291,1.7817461287964191
6718,23.323203409224664,5.908957117469291,6.554388193903044,7.515473281541582,15.096439773945848,8.015088002014338,17.89384317270706,10.205286907401467,3.5999484688673586,22.541758644817467,15.412104014089026
6719,916.6494923568338,296.26288444139135,211.86367471841533,176.38588050163503,478.44930912141234,189.863902800963,468.7226167991655,425.82236963183993,169.37757546020921,844.4163954319181,877.5990557386763
6723,10.471642346998829,7.7427713953045885,2.1232525135178877,2.6190285678099454,10.675339554433135,1.977748987510031,25.819975047865892,12.192156924771663,0.7199896937734718,18.30856453311466,2.405357273875166
6981,1.427951229136204,4.177021410624843,1.2924145734456707,6.604506823172906,5.068090495538963,1.7695648835616067,1.3210219791931388,0.9934350086850986,0.8999871172168397,2.328256761436546,46.50357396158654
7101,16.75462775519813,12.531064231874533,14.401190961251759,12.298047187977136,14.66511292326168,14.260611120467066,13.570498513529516,12.914655112906281,12.959814487922491,18.731883944284938,17.817461287964193
7114,56.26127842796644,39.834521257422296,35.81834674978001,53.63315023645584,36.44711888281211,35.183113567283705,54.04180823971931,34.228351662877486,39.23943831065421,57.88892947753594,53.986907702531504
7166,7.330149642899181,80.89158536673479,53.819835451344716,27.556735365652468,0.10783171267104177,40.07544001007168,6.725202803165069,9.392476445750022,35.639489841786855,7.619749401065059,97.19425132584466
7169,2.094328469399766,8.659678534222238,5.169658293782683,7.857085703429837,3.127119667460211,7.18235158622064,3.482694308781911,1.1740595557187528,5.21992527985767,6.349791167554216,9.710516401940485
