,DKO_Sham_126_Proteins_norm,DFC_Sham_127N_Proteins_norm,DFC_TAC_127C_Proteins_norm,DFC_Sham_128N_Proteins_norm,DKO_TAC_128C_Proteins_norm,DFC_TAC_129N_Proteins_norm,DKO_TAC_129C_Proteins_norm,DKO_TAC_130N_Proteins_norm,DFC_TAC_130C_Proteins_norm,DKO_Sham_131N_Proteins_norm,DFC_Sham_131C_Proteins_norm
26,38687.38745423857,40354.81511947256,23396.4887077603,38380.4972115672,27569.33397860525,25672.222778399944,24865.596714352447,25748.11949192093,24923.88322935627,40773.067385393544,37236.44508379704
27,684.7502127451143,459.06484088476947,647.0381246629075,320.54632253847814,437.90458515710066,455.1945432832298,321.72889838712894,486.24128061459726,604.5213466345513,487.0289825514084,719.9145233401932
28,26022.697609532355,26570.440707268594,20430.489577029162,24276.686761488752,22455.19934175575,20933.328020221965,21378.09868928256,19965.15368181794,20848.56156517498,26297.130971161823,26661.603634777417
29,25600.214439205258,24000.553754024408,20294.60141616402,23345.22355780678,21723.022012719375,19896.258906402887,22277.954842927487,17105.325228634094,19333.793248187314,25084.426688011758,24492.951334112855
30,13261.478261736534,12785.353145067693,26421.0157556032,13415.916903202798,26739.461117888914,24656.700719339533,28365.82458758547,26539.977506116476,25143.660083380622,13172.324287532843,13952.408498072558
32,17590.360011237244,17982.280929881934,12654.584980566611,17110.113633502373,14580.896355665596,13578.079535672156,14421.596946851496,12517.371421705759,12824.5464242048,17423.191984652014,15788.23062187795
33,23532.255469170203,23827.15642619798,23055.291260370646,23117.595814021908,23181.55375830789,23799.60676338387,22423.86772517473,23284.129733561338,24176.353929795965,24235.353779056968,24312.015014733577
34,874.7629229688386,884.3059962005767,1052.3024087648002,911.8774248270453,979.0041193403882,1027.8049211933708,978.5170078605175,1166.74426156389,1008.6155622649122,938.9224539756834,897.109175848997
35,3932.5776850411057,4229.488874685131,3532.7229211870663,4326.976806443919,3617.5382966881093,3711.8184813484318,3676.884539723302,3750.668719153831,3847.5349248137118,4445.065476993536,4180.600029301478
36,153.3619620092283,143.85254223907998,160.44403776061256,166.3652494595796,174.90303795242974,169.14958445809478,191.78837279740384,117.4962678453921,172.70752779391154,158.7447791888554,159.02084199508042
37,16.564234257979965,21.598257050060166,21.047894481829495,18.788683203853957,13.802459221893347,16.134268056002885,15.37189212152016,13.456528754007243,14.219796452026067,18.096904827529517,25.21170772246933
