A	Coef.DKO_TACvsDFC_TAC	Coef.DKO_ShamvsDFC_Sham	Coef.DKO_ShamvsDFC_TAC	Coef.DFC_TACvsDFC_Sham	Coef.DKO_TACvsDKO_Sham	t.DKO_TACvsDFC_TAC	t.DKO_ShamvsDFC_Sham	t.DKO_ShamvsDFC_TAC	t.DFC_TACvsDFC_Sham	t.DKO_TACvsDKO_Sham	p.value.DKO_TACvsDFC_TAC	p.value.DKO_ShamvsDFC_Sham	p.value.DKO_ShamvsDFC_TAC	p.value.DFC_TACvsDFC_Sham	p.value.DKO_TACvsDKO_Sham	F	F.p.value	Res.DKO_TACvsDFC_TAC	Res.DKO_ShamvsDFC_Sham	Res.DKO_ShamvsDFC_TAC	Res.DFC_TACvsDFC_Sham	Res.DKO_TACvsDKO_Sham
10	14.1935668217802	0.145093616630044	0.176141263138843	1.35808805526582	-1.18194679212698	-1.21299443863578	0.815508545999867	0.885495401732321	6.82736518777851	-6.64321237752571	-6.09795216974342	0.434877441282687	0.39788755567725	6.08713476470143e-05	7.5653723010604e-05	0.000147618182675576	27.1353615717645	5.7712698558699e-05	0	0	1	-1	-1
12	6.45937033341995	-0.152519156230756	0.117638293300852	-0.491745620858875	0.609383914159728	0.339226464628119	-0.702628944352226	0.484724923680297	-2.02622251524293	2.80732458068067	1.39777208223073	0.499248585130371	0.638922914782327	0.0719236381368563	0.0195724797042231	0.194162566608488	3.28177358702369	0.0698607559617737	0	0	0	0	0
13	6.61924959652406	-0.0162466253214655	0.0486444269918564	0.258895014569783	-0.210250587577927	-0.275141639891249	-0.167533241685882	0.448658512896049	2.38784706524604	-2.168078712122	-2.53769335200626	0.870485365690562	0.663801820330315	0.0394870988701541	0.0569243252029626	0.0307324693668921	3.72173555793499	0.0522290698154633	0	0	0	0	0
14	12.3254212383902	0.122051566203893	-0.0775819999322813	-0.158899709572097	0.0813177096398157	0.28095127577599	0.858880517959513	-0.488309708796842	-1.00013238865692	0.572235152296622	1.76833847774	0.411687672850963	0.636475103707527	0.342195922245223	0.580535181110648	0.109238907282054	1.22751472557122	0.35288819246004	0	0	0	0	0
15	15.2568183579192	-0.0130767163154424	-0.0172168464924738	-0.15862405385799	0.141407207365516	0.145547337542547	-0.197995567970603	-0.233160709050386	-2.14818067211921	2.14105740784551	1.97108805242883	0.847247525251394	0.820614911935912	0.058830332579218	0.0595275147196337	0.0787160044389352	2.82315367960365	0.0964105114948458	0	0	0	0	0
16	15.2003491425265	-0.025694691889921	-0.0402626894100422	0.348553598741375	-0.388816288151418	-0.374248290631296	-0.358215271644458	-0.502051717438832	4.34625543975577	-5.42057218964295	-4.666652918946	0.728063583549707	0.627134584667187	0.00166311361522109	0.000357718095819108	0.00103354418020659	17.6372740031121	0.000333543347420905	0	0	1	-1	-1
17	8.26281712194631	-0.000233672679373242	0.135998746020135	0.0434338045757308	0.0925649414444045	-0.043667477255104	-0.00150232217823375	0.782050931633488	0.249762945077509	0.595116060772832	-0.251106662883363	0.998832596625745	0.453356324181027	0.808122084076037	0.565759326711881	0.807113402607468	0.240134989187722	0.866303922145316	0	0	0	0	0
18	6.63247296006867	0.377809968460282	0.0256297238416359	-0.256277165834485	0.281906889676121	0.634087134294766	1.27938807992193	0.0776278946416397	-0.776218150120638	0.954628899203891	1.92053763664399	0.231315306083725	0.939744906519949	0.456630066621071	0.363574404775298	0.0854729076689046	2.02178545289183	0.178367894879713	0	0	0	0	0
19	6.96677378595655	-0.0156547196875811	-0.145453627467862	-0.580243152224676	0.434789524756813	0.564588432537095	-0.115572207216791	-0.960456416107188	-3.83144970777428	3.20986808155674	3.7280787831157	0.910413262848486	0.360783166255486	0.00368069696173709	0.0100349437396157	0.0043355047445103	8.08645260551582	0.00570290753456336	0	0	-1	1	1
20	8.24994692812482	0.0268228740558936	-0.0736758882472301	-0.10783170096591	0.0341558127186801	0.134654575021804	0.213049590590885	-0.523414521590325	-0.766067155973036	0.271293892699573	0.956624502828924	0.835819136771474	0.612751951355182	0.462364286828067	0.792005586059452	0.362616791560015	0.333370761389771	0.801633663283279	0	0	0	0	0
