,TAC-MI_126_Proteins_norm,DKO_127N_Proteins_norm,Sham_127C_Proteins_norm,DKO_128N_Proteins_norm,DFC_128C_Proteins_norm,Sham_129N_Proteins_norm,DKO_129C_Proteins_norm,TAC-MI_130N_Proteins_norm,Sham_130C_Proteins_norm,DFC_131N_Proteins_norm,TAC-MI_131C_Proteins_norm
24,777.8987643272591,717.8241483105348,843.1049818210938,647.4487179443306,649.3551212018812,608.5343698815502,546.3895761231491,598.3069477548405,832.6304031728065,787.9622504324136,896.7377103194337
25,17155.48430105139,11784.412797035737,10907.182093409154,12137.802976634519,13591.67744345478,12506.634305013167,11488.905650375307,19183.412293458867,12128.931083911826,12774.516917446712,18935.20713231445
26,16310.826712554635,14867.402773279759,15536.49680552934,15278.301355628857,15450.968219311757,16170.015940016881,15146.622666299729,16529.99739411077,15738.5150220658,14895.303643216223,16212.882174985722
27,30160.880227927362,27198.29844675354,25242.058856282936,27272.87750074526,29535.139491751754,25507.377713776314,27405.553199502232,30669.045176917567,25255.97397386943,26752.18839204685,29871.178808652203
28,29729.963774827167,35108.908575367714,33714.84000374949,35960.548624456154,34216.88603974768,31912.119211235935,35091.472765965955,27410.10909404922,32092.167428216155,32412.508175252984,26457.55204883968
29,17647.536706453822,14492.615912548315,16350.643107682292,13923.258410422965,14737.978216626321,16117.768039572507,14235.479260285,17902.03112770564,16666.388919034536,14952.142981154882,18927.528217312825
30,96.81563015086272,64.74074972407838,84.89407613739888,34.891715344277095,74.10975909401763,67.73313790639632,45.458347805507074,92.74089924741857,93.79872667883724,67.11350398004785,94.83958657848991
31,22599.85554503665,30380.08458079568,28316.30348112882,31888.09984855646,27025.446106931846,27886.78492654743,28772.169486029095,22071.100006873115,27953.465317410588,30525.79015163611,20896.721147469354
32,11843.403896997721,11596.132507084752,13357.108415143428,11717.15040842799,11803.266672761925,13991.325774654246,11950.406703096432,11355.112170597697,13248.403327793256,12069.327988589692,11232.6570286732
33,14128.23232175129,23326.712927295124,19437.219945922974,23026.58014314768,19165.97085450881,18886.197515607066,23138.79314547925,11478.418647693294,18110.489220533127,20147.556750988115,11097.228891371844
34,33.634997169623894,24.65469647026547,37.76740352156656,35.13571335367764,30.639017010600927,33.45284123474723,36.2678557491763,47.746849868425315,28.117390817234387,35.131019367333685,46.671847022853086
35,16152.97736413549,19629.661374216146,18300.0136964456,18559.58658604731,18255.529408866165,17324.78910617323,18290.660352021918,13970.367559712979,17561.033172310174,18579.917867898603,13911.202197875788
36,317.3344413814972,181.62884306152404,387.8040676471062,118.46103356396173,195.79292066888283,268.80480907355195,148.4313878345035,280.50087745764773,333.9634759122108,220.14886429010755,304.4639935059198
37,7881.221677222816,6512.919422242286,6885.339000030904,6505.9629226559755,6643.865705728939,7132.31124233549,6794.14536951395,8808.20217294418,7282.293085731622,7266.2382204176,9838.584914287594
38,17758.153931187964,8833.653584954181,11102.075108666219,10253.040353020057,9997.223191424793,10574.407651927731,10012.49757164862,21892.832444143685,10820.638891419796,10028.083193463199,23084.91274442543
39,15867.233239244611,15551.614943308889,16302.855780777454,16004.805428618964,16135.23959921518,16536.22407480574,16562.0572654699,15681.470374282033,16307.197586539272,15579.77852763496,15177.225911455103
40,6465.382541046155,6352.929953061139,7384.6835334720245,6653.703717348001,6180.701534053018,7242.244607523881,6282.640134206766,6679.812773839145,7314.633641968046,6750.789938615282,7130.720251442445
41,2721.4699837549792,3174.6912573600466,3070.9413534008495,3148.6723123092574,3224.8656536741896,3159.934105608703,3173.783256786229,2668.128143343338,3193.8244162279916,3420.054449116586,2695.398891738618
42,4014.2193430555694,40691.06886287821,5026.478048861555,37146.86694616158,38173.07273192561,3848.96806870885,43593.36967553853,3871.861350463619,4566.908857124951,39923.42068857562,3864.488769193547
43,847.7246095152625,314.30303701662166,255.01255555670014,363.1910369927025,464.2116594369678,318.80675904633665,267.9077845668037,974.9659940329949,303.62336645329776,389.58974779529007,985.5937267667886
44,12.8814882777283,10.819686940188442,10.790686720447589,12.321899474727225,9.252808555907972,17.37656417493937,7.7081546278903295,12.719836744272353,12.224952529232342,11.517008707687223,9.374259872111518
45,48852.942059250636,37896.2195658856,37544.763026171204,30333.100534646826,31969.937501656856,43008.651243848755,42691.21911658968,50947.122823622325,46455.70869853957,42587.99250893903,49626.33450126985
46,73.0973342744106,75.38306474721456,86.10527566724504,109.67710522554235,91.65517909154123,77.89901898833367,100.60130014349174,79.4515175742982,81.90718194585669,89.48467197339713,78.98312573098215
47,1438.8417938154612,1097.2226788853395,1816.9094038174046,882.6627990064503,1126.5730870051723,1320.0278376976053,1002.0601016257428,1080.9962749535339,1621.4732491045443,1473.0171280954205,1422.1948940019397
48,18174.75761953513,15825.743241113174,17596.526987701316,15530.839295358415,16231.521182584675,17200.197958959714,16070.810641684731,17855.3284435401,17786.305706644303,16387.377692194867,19222.219046271224
49,12861.450407074057,14385.483274648745,13714.852712640717,13792.231479374876,13670.588188120259,12964.335369539462,14164.129418729399,11935.573377248633,13901.215792854262,13473.57448915,11452.05460014815
50,152.4309446197849,197.9470594303328,167.47586226327329,154.6947379599418,192.73774803249813,171.4014833582455,182.1298587077164,136.40601045909978,168.2598011750706,179.13505630230054,128.34757931284597
51,12103.896215502893,18016.197730750173,16581.651890738405,17994.487196275662,15141.522876569363,15681.580816405662,18048.14994872906,10584.1381852471,15155.051378625167,16119.917950407713,9952.173020610308
52,22924.244134760716,27193.68677691018,29746.509907780797,26616.88885247191,23253.35538875778,27595.875236516644,28055.904040606674,20408.598359565756,26438.349155310367,25145.192824524594,19708.882750270204
53,13703.347676654157,16754.37391284033,15999.72557117141,16244.655471859693,15858.964702239247,15674.37013331266,16509.780165493565,12773.08919511964,16008.575337029752,16293.004505734036,12009.025253187967
54,16647.687854420627,19228.534783802435,18878.08619932672,17788.674875346303,17372.759098244493,18669.285983219215,18206.068296105583,14880.4054318573,18966.79157723981,18177.982549618097,14677.099174661069
55,8229.22632878938,6122.0804030176105,6408.126385271518,6123.61804192533,6558.233581263414,7547.339247901558,8579.077278346707,8439.89645228913,8392.09650352175,10711.315235215636,12964.102772285969
