A	Coef.DKOvsDFC	Coef.TACMIvsSham	Coef.DKOvsTACMI	Coef.DFCvsSham	t.DKOvsDFC	t.TACMIvsSham	t.DKOvsTACMI	t.DFCvsSham	p.value.DKOvsDFC	p.value.TACMIvsSham	p.value.DKOvsTACMI	p.value.DFCvsSham	F	F.p.value	Res.DKOvsDFC	Res.TACMIvsSham	Res.DKOvsTACMI	Res.DFCvsSham
4033	4.5419734924848	-0.583482588176213	1.3596156853925	-1.33453223908506	0.608566034483651	-0.590226342984383	1.53766546703354	-1.50929719385493	0.615599697877046	0.569761840507842	0.158986665678393	0.165975689737109	0.553617374247088	1.04187233316232	0.420524758817364	0	0	0	0
4037	5.84237234378931	-0.176416026372697	1.81325517431838	-0.897137403152498	1.09253379753858	-0.143452087218927	1.64847652811922	-0.815610495721132	0.888390113055996	0.889137812793766	0.134136874041177	0.436067212193963	0.397772081081168	0.915894846292421	0.471758245342774	0	0	0	0
4064	3.81872951991101	0.446640712240846	0.761269844564664	0.888713697987483	1.2033428303113	1.35635147527556	2.58468468825774	3.01738562723017	3.65429254079031	0.208489185597063	0.0297966181170625	0.0147724695809792	0.00540952439767384	11.1511939280446	0.00228479008500577	0	0	1	0
4116	2.93987126162887	0.398279531252018	1.37654952202589	0.637843834563953	1.61611382533783	0.996776606909605	3.85173762774803	1.78475751064977	4.04465790681222	0.345275240507961	0.00400048597814778	0.108437160060806	0.00299410407004717	11.7366478353985	0.00191553185055469	0	0	0	0
4125	6.87738022281846	-0.682224346595024	0.407679252300008	-0.716278283752271	0.373625315142762	-1.99231281931372	1.33107930612364	-2.33866009994246	1.09110516019289	0.0779589826459408	0.216346585771778	0.0445012012768621	0.30396483631741	2.28443901572886	0.148638183730071	0	0	0	0
4126	2.57911181634985	-0.422295636515909	0.212195934861995	-0.519289029682261	0.115202541695644	-0.704026700556606	0.395516496839978	-0.967913819842664	0.192058970807442	0.499472397498567	0.701801701909285	0.358725696704978	0.852019042266427	0.343000406717946	0.795080048517201	0	0	0	0
4166	5.51168654278032	0.596943392611333	0.149335893788632	1.02157767154231	0.573970172719612	2.45179262725667	0.685756286146511	4.69112476762358	2.35743599000758	0.0370071255944581	0.510383506575343	0.0011784359745173	0.0431607031213808	11.5569563036882	0.00202053629053884	0	0	1	0
4196	5.12759870530906	0.546125155297526	0.407733694538435	0.753184012008725	0.614792551249634	2.25387070701147	1.88134492789562	3.47530493492515	2.5372625829614	0.0510845330507949	0.0930738071444419	0.00714184096077571	0.0321919388996816	9.91226489498201	0.00340069115229268	0	0	1	0
4204	2.65344059284841	0.315723390444581	-0.421302278940006	1.79450234185206	1.05747667246748	0.573397184775389	-0.855455875114802	3.64374381051764	1.92052336098592	0.580614149454729	0.414798880205364	0.00549821921153662	0.0874453540792321	5.66210092052158	0.0189455554945174	0	0	1	0
4212	7.12885592680795	0.137066499347858	0.249493475348601	0.349815909252493	0.462242885253236	0.318230441267923	0.647626481846022	0.908039964918587	1.07319992884457	0.757671793812849	0.533621152295489	0.387852047207924	0.31149733968698	0.893011550504378	0.48177167241799	0	0	0	0
4232	2.60322507753868	0.113807812624371	0.501971587821453	0.594731145240736	0.982894920437818	0.114400327640422	0.564143170191918	0.668391442519885	0.988012143817566	0.911467041547807	0.586629864617013	0.520888610281455	0.349319152436657	0.600595862646961	0.630883916361451	0	0	0	0
4290	4.13957264984387	1.03220069831048	1.70428726729613	-2.85026173928505	-2.1781751702994	0.910964769842168	1.68164855709931	-2.81240060475745	-1.92234014754645	0.386390757102142	0.12741323344875	0.0205725361922528	0.087192318251844	4.64927139107989	0.0321141357818956	0	0	-1	0
4376	3.70461792903336	0.59894068036297	0.0174828808250709	0.783181696055343	0.201723896517443	1.96323178019559	0.0640701539773407	2.87015465932499	0.661218677328661	0.0816774045086766	0.950334412690339	0.0187345857597584	0.525265885046263	3.76940624052121	0.0536726680375541	0	0	1	0
4392	2.26525712355053	3.58366824205374	2.00656804392086	1.24366104942973	-0.333439148703147	3.66764973379588	2.29598450681062	1.42303995614071	-0.341253130138346	0.00529937294087121	0.0477028877686812	0.188915474201755	0.740854120470118	6.76616108802855	0.0113433039560243	1	0	0	0
4417	2.54888763195303	2.97562519822038	1.88572932850614	1.41301143648378	0.323115566769536	1.74674323164338	1.2376139715393	0.927366759004857	0.189674401746178	0.115107110673238	0.247604466949867	0.37826929587392	0.853831867461318	1.88228786137582	0.203939266032853	0	0	0	0
4495	4.33126752356848	0.589859551173218	-0.640712415565462	1.47649377422471	0.245921807486033	2.12493448866664	-2.58056662155006	5.94680305567057	0.88591890934534	0.0629631371045193	0.029997321352025	0.000228629194574097	0.399032284277404	12.049779808108	0.00174804080787767	0	0	1	0
4499	1.7915006431793	3.71236333796666	2.58815919541036	3.03698244753656	1.91277830498027	4.66198596119184	3.63384566908578	4.26400568158268	2.40206703732145	0.00122741828960671	0.00558283715964261	0.00216735656654093	0.0401327143807889	21.3240224215324	0.000214172615903801	1	0	1	0
4529	4.68096247710588	2.59651239267011	0.198871515978098	2.46349363396057	0.0658527572685492	5.93953410653791	0.50861547716235	6.30040447954977	0.150638486806484	0.000230665679618981	0.623425064604	0.00014975168994379	0.88362944861731	21.0565441205435	0.000224822635489744	1	0	1	0
4561	2.23423059628012	2.4214040980293	0.282304837075496	2.76510528329909	0.626006022345284	3.21171904897666	0.418642775001932	4.10050129131604	0.830326283984066	0.0108242504687221	0.685427595903016	0.00275586415593062	0.428127309073833	8.50103805152274	0.00561133982219165	1	0	1	0
4564	2.97529761175057	2.71341393127159	1.34314553880372	2.53092090916231	1.16065251669444	4.95868171783538	2.74427900573418	5.17110984292431	2.12105729574229	0.000815480212356082	0.0229786708521641	0.000613291893037978	0.0633590717539124	22.046730434111	0.000188340058204648	1	0	1	0
4574	5.02696196475266	0.300339011178917	0.0591152429714823	0.344744631360247	0.103520863152813	0.829991436598096	0.182648601152902	1.06515885764519	0.286081483683428	0.428306870270577	0.859178347186581	0.314926889330459	0.781381844776794	0.614503689392043	0.62286444547594	0	0	0	0
4592	6.24731964719209	0.384494158818208	0.375126940649264	0.594652420425307	0.585285202256363	1.18287276679516	1.29027281878336	2.04534457954564	1.80059413304269	0.26758142205382	0.229561387396603	0.0715907601226526	0.105765761593621	3.85285426266204	0.0509920950687246	0	0	0	0
4594	3.4989403869459	0.878384271544607	-0.0478502230570794	1.24836463470483	0.322130140103148	3.61712795753408	-0.220301926435397	5.7474577201288	1.32651047323802	0.00572888253955711	0.830620775536326	0.00029231634508515	0.217793530087932	14.169995189763	0.000984071528630069	1	0	1	0
4596	5.41092210606228	0.775572664535209	0.0880595167824412	0.990576963532387	0.303063815779619	2.85666804229368	0.362634055645613	4.07925179287939	1.11627543994482	0.01914818885304	0.725364944792813	0.00284405193398764	0.293617590216215	8.15702237755382	0.00639720420445489	1	0	1	0
4608	4.17372077040977	1.93881352849229	-0.0703110282812758	2.49172691046574	0.482602353692178	5.02302951965475	-0.203661128055471	7.21747250461942	1.2503140880886	0.000747534540513478	0.843212036775673	5.36607648215587e-05	0.243148982435302	22.793699653892	0.000165537276796157	1	0	1	0
4748	3.36708876100916	0.734409909599466	0.388214633321672	0.412019984869069	0.065824708591276	1.58656771804703	0.937663462228734	0.995161058752894	0.142203088950323	0.147551531242433	0.373234412141928	0.346018004565618	0.890095820053264	1.47711061820142	0.28609705624086	0	0	0	0
4752	6.2442294353723	1.84702141523933	0.712811632258271	1.98614950635257	0.851939723371509	9.17570520605915	3.95910760947956	11.031497338578	4.23229946902138	8.02816702753437e-06	0.0034025039642765	1.76604410830213e-06	0.00227003005425278	81.376921088988	8.8732023333942e-07	1	0	1	1
4753	4.28820820149813	1.41497277125777	0.154803621308893	1.88213642583714	0.621967275888259	4.40200534530587	0.538441598976767	6.54649121287674	1.9349512080234	0.0017748986614046	0.603513982824902	0.000112595642547322	0.0854549118433951	20.7947293421117	0.000235882207143548	1	0	1	0
4754	5.97072982417614	0.367099454930517	0.00682766912126098	0.502765581209731	0.142493795400475	1.54873495915407	0.0322048169442415	2.37144964425784	0.601158948713323	0.156331174052885	0.975021429140071	0.0421863257049374	0.562773330865776	2.54096964467764	0.122674163693846	0	0	0	0
4755	5.53017231207765	0.270558148594342	0.150977662252155	0.605100055148763	0.485519568806575	1.17780874891934	0.734821509742003	2.94507498285918	2.11359073412838	0.269493702647567	0.48141487270977	0.0165978557035589	0.0641283537124118	5.34568561606074	0.0221971378779342	0	0	1	0
4761	4.36936493433414	0.507103161333111	-0.511221558574267	1.38452294979406	0.366198229886683	1.5800763079084	-1.78092614542543	4.8232181895975	1.14103241936181	0.149025847391856	0.109092804164168	0.000981300546825292	0.283713196419973	8.19724811698011	0.00629865135646596	0	0	1	0
4763	5.75791355574497	0.48394206106066	0.199781471155521	0.654058736517789	0.369898146612649	2.1588994505735	0.996435655251427	3.26220165426494	1.65014155566467	0.0595957596602944	0.34543189679011	0.00998995997794366	0.133791843831537	6.61890141215425	0.0121068194365211	0	0	1	0
4768	4.96120522431522	0.620211494334171	-0.0392544635764587	1.01460952031698	0.355143562406347	2.84062010652116	-0.201009877779997	5.19549923987871	1.62658698409975	0.0196525283703158	0.845222572821658	0.000593798738719359	0.138748519656928	11.5685076503889	0.00201357750500575	1	0	1	0
4778	7.86552000811038	1.63883592971995	0.304968594790248	1.95334859384503	0.619481258915335	6.98297155776771	1.45283040908515	9.30549664837988	2.63956869209912	6.91198127499084e-05	0.180698014074333	7.16340489544615e-06	0.0272473638204946	45.8876715458037	9.90212624233854e-06	1	0	1	0
4785	7.51225550267449	1.0326497188301	0.118944679571038	1.22126577050489	0.307560731245821	5.406600484167	0.696259726297674	7.14885419150341	1.61028272040618	0.00045055719374079	0.504092974757461	5.7750333256977e-05	0.142276147702211	25.5399394585461	0.000106119670871145	1	0	1	0
4786	1.97007261611538	2.08325767251075	1.18957085995117	1.35228308399229	0.458596271432704	2.15874568250214	1.37817324824265	1.56668293848904	0.475213764495001	0.0596106029843042	0.201901298134606	0.152109502629193	0.64611327873162	3.19560627090781	0.0775749482071755	0	0	0	0
4787	7.09659203395078	0.754713344726082	0.229301540492735	1.00221800340162	0.476806199168274	3.25859639221004	1.10690544060672	4.83799872541371	2.05868754176731	0.0100472631226926	0.297436656532026	0.000961555983089033	0.0700688741168376	13.3282828987942	0.0012253817882888	1	0	1	0
4848	2.95043479615085	2.7890719332656	0.0828122131073672	3.36959210674257	0.663332386584335	3.41984747662669	0.113526283179943	4.61933395277085	0.813351409609976	0.00778986295525233	0.912140216631704	0.00130310180676599	0.437294897852949	9.90377148826529	0.00341040514637183	1	0	1	0
5173	1.93343681504979	0.402619874689728	-0.0402004579457793	1.38855537866874	0.945735046033237	0.459581641246977	-0.0513042649002895	1.77208958843272	1.07953554199402	0.656868023115037	0.960219355620087	0.11061901339493	0.308815622069959	1.51030805783903	0.278061301770011	0	0	0	0
5590	7.37785312338849	0.772464024911224	0.32437940616204	0.881421981243347	0.433337362494163	2.72612807504704	1.27990069127741	3.47781820198819	1.52930507022374	0.0236668128808146	0.233026069059437	0.00711384557286051	0.161018761914806	8.11538098696696	0.00650121945243675	1	0	1	0
5594	4.78806281347238	0.637829069168841	0.156056645956108	1.52720760693799	1.04543518372526	1.89865387004771	0.519372278644746	5.08270115584867	3.11199293574149	0.090546263626631	0.616205504133106	0.000689963662625222	0.0126918022275084	13.5276636963216	0.001162205119395	0	0	1	0
5603	4.40335558577745	1.21856058786189	0.134297415514271	1.702476166632	0.618212994284383	2.47033904065034	0.304391202165889	3.85873968635549	1.25327842573483	0.0359045207099715	0.767847155411555	0.0039582802472744	0.242118608178504	7.18374378219529	0.00947703422922959	0	0	1	0
5605	3.25208210180458	2.80460382175034	-0.0325654782013545	3.88276251246069	1.04559321250899	2.82480796952817	-0.0366716013369032	4.37233312105666	1.0531255846812	0.0201627357722326	0.971558542096185	0.0018523660249875	0.320113513390994	8.44966229621564	0.00572087702837012	1	0	1	0
5606	9.7013350471084	0.963377391597795	0.0360926386462044	1.38691010500381	0.459625352052216	5.44807720760632	0.228202523906963	8.7690010557658	2.59926631701478	0.000427084628911313	0.82466041392431	1.15757357743375e-05	0.0290967552242696	35.0986447917755	2.9746899590207e-05	1	0	1	0
5610	6.03252512288605	1.60880221831696	1.49902166980032	0.968696736000043	0.858916187483412	4.48784332586029	4.67517581980425	3.02118885144199	2.39599450795347	0.00156969009033392	0.00120498040265931	0.0146823841523713	0.0405319728103803	20.8079676076086	0.000235307217061843	1	1	1	0
5612	4.11683015001612	0.771847691763855	0.0119501820938375	0.948938222753783	0.189040713083765	2.2643975424346	0.0391967983475721	3.11253333794508	0.554595590159422	0.0502177979118584	0.96960115035544	0.0126808291252239	0.592871868847051	4.4321749579544	0.03626328763343	0	0	1	0
5614	4.18063120206616	2.47103190029546	0.262374068388981	4.19074027270391	1.98208244079743	2.00564003698018	0.238095153065563	3.80294803070317	1.60877886658744	0.0763094178238423	0.817214015067776	0.00430811853136551	0.142605566838868	6.90576284297694	0.0106731518686696	0	0	1	0
5615	7.59129786249477	0.709095410789813	0.0518457977629598	0.449333204558441	-0.207916408468413	3.00056416740499	0.245282640024179	2.1257968711084	-0.879806180625223	0.015177792815813	0.811815940356139	0.0628753980693156	0.402161631756581	3.51925812944485	0.0627992430387969	1	0	0	0
5616	4.99134453287872	1.3496629015175	0.408973493534532	2.00351413135504	1.06282472337208	4.26261736973714	1.4441131001348	7.07454406981199	3.35670123386966	0.00217174695655991	0.183069797923642	6.25680298696986e-05	0.00860326502687683	27.7794481363121	7.6117723901148e-05	1	0	1	0
5618	5.29451513559316	0.850452011812788	1.30037065305311	0.579674233272645	1.02959287451296	2.95655603639582	5.05427034678894	2.25307321504732	3.5793307392887	0.016293226339416	0.000716772778347909	0.0511507902652101	0.00607409603596045	18.6760717720711	0.000355058107826861	1	1	0	0
6336	3.28569537006759	1.14197755237747	0.87964890138241	1.00070050237102	0.738371851375958	2.16852646373692	1.86754695720647	2.12454670873912	1.40211066010335	0.0586735828391157	0.0951360973306426	0.0630026286070974	0.194880579770333	5.37367923654115	0.0218833315664698	0	0	0	0
6340	2.44759543019576	1.46604941037685	-0.550147101106802	2.63910816036812	0.622911648884462	4.14236477719661	-1.73793515422391	8.33704083594277	1.76005478081477	0.00259052946804171	0.116705745257041	1.73401118133256e-05	0.112729445441356	25.8383031349525	0.000101375963882591	1	0	1	0
6344	5.5837659209939	1.61080629729137	0.402205226318819	1.92454745731982	0.715946386347269	7.8272145719442	2.18507645247408	10.455566102776	3.47891984118217	2.85588618904517e-05	0.0571206208884523	2.75562759087829e-06	0.0071016106431954	61.2647690902285	2.95824026564464e-06	1	0	1	0
6349	6.46232563973647	0.791236220702342	0.102970625047661	0.948043016194332	0.259777420539651	4.73222462106146	0.688537417628341	6.33931366221088	1.55367647904485	0.00111288600523063	0.508713191117504	0.000143078089584725	0.15515854233546	20.2650594106243	0.000260368515898251	1	0	1	0
