,TAC-MI_126_Acetyl_norm,DKO_127N_Acetyl_norm,Sham_127C_Acetyl_norm,DKO_128N_Acetyl_norm,DFC_128C_Acetyl_norm,Sham_129N_Acetyl_norm,DKO_129C_Acetyl_norm,TAC-MI_130N_Acetyl_norm,Sham_130C_Acetyl_norm,DFC_131N_Acetyl_norm,TAC-MI_131C_Acetyl_norm
34121,362.7263524553969,317.58441748208867,467.63312756878474,174.58057572608573,328.474703734733,377.31967922725494,292.218118393227,291.8917760346081,442.87668935446254,374.59277962197075,370.5824434549617
34122,8.485424817868644,14.810555073864508,14.424285309986061,17.20185966273801,19.291232932600582,19.622514646530178,17.195114169909196,17.086347865440473,16.892661676757417,24.19400390391848,8.975355196702516
34125,3.680425222208086,58.08930283461828,3.6335985895384733,324.39535349801673,50.803156410739994,20.09534632475982,148.2337428440448,14.903092304856411,0.8890874566714431,6.711350398004784,3.5901420786810068
34126,354.138693603578,313.85960722399096,414.34034825555386,211.54627415026744,340.60810363351794,387.6037682287497,305.6579777444204,310.9715311510166,395.31051042254035,335.56751990023923,358.61530319269167
34127,689.8752610961157,783.8065014539791,815.1372835864642,531.5496634790745,754.1911879532536,755.4668138914118,704.3079234996716,638.0801686193937,838.4094716411707,815.553357624211,699.4793483296828
34135,4.804999595660557,27.403961184575646,2.2021809633566507,32.93973126907278,1.3966503480615806,7.919930610346517,28.757346111744695,8.922870551952247,0.6668155925035822,0.8285617775314549,2.4931542213062547
34147,5.520637833312129,43.36743371927991,6.716651938237784,34.40371932547602,8.118030148107938,9.574841484150266,33.40200338752476,7.024387455792195,3.1118060983500504,2.2371167993349284,13.562758963906026
34152,4.498297493809884,67.5787003969147,3.413380493202809,68.68543964625177,5.412020098738625,1.4184950346889285,65.61813683229717,4.176662811552116,7.2238355854554746,7.374199820029949,56.04610689496461
34262,7.97425464811752,14.810555073864508,6.606542890069952,6.343948244414017,8.64177402863103,9.220217725478035,12.550456894129127,5.885297598096163,2.4449905058464685,5.965644798226475,18.349615068814032
34265,2.65808488270584,90.19361982107907,6.606542890069952,82.2273291679817,5.412020098738625,2.836990069377857,82.02267104037146,1.8984830961600525,2.7783983020982594,8.037049242055112,7.1802841573620135
34351,17.07308366968751,18.624051290488303,15.305157695328722,16.22586762513585,14.4902473611389,14.894197864233748,15.515131751010022,12.62491258946435,11.55813693672876,20.299763549520645,13.064128119644774
34365,54.69520816337017,107.75343960925376,50.7602712053708,102.6011629529267,103.00296316954157,47.87420742075133,103.76361999083136,71.19311610600197,57.01273315905628,100.42168743681233,81.37655378343615
34561,19.526700484492903,43.45611967780604,19.379192477538528,48.0676078519062,32.47212059243175,16.194484979365264,42.59249544385554,27.81277735874477,18.11515692968065,20.54833208278008,22.937018836017543
34564,7.156382376515722,6.474074972407839,2.422399059692316,20.983828808446365,9.601971142923366,8.038138529903927,8.795202075413325,7.878704849064219,2.4449905058464685,5.551363909460748,1.1967140262270022
34566,17.890955941289306,120.08078784438649,16.296139128839215,146.15480763092293,13.355468953338866,16.78552457715232,125.30692395083254,17.940665258712496,15.892438288002046,20.96261297154581,18.349615068814032
34574,84.64978011078598,144.38074048054742,80.93015040335692,148.83878573432887,95.05951431494134,58.867543939590526,135.28799596899825,77.36318616852213,77.01720093416375,91.30750788396632,307.35605240263504
34582,56.433186740523986,102.07753826358112,40.52012972576237,98.94119281191861,59.270349145863335,45.86467278827535,92.89314551560142,52.30320929920945,53.67865519653837,46.23374718625518,55.2482975441466
34583,10.939041632674034,25.896299889631354,14.424285309986061,15.371874592233965,12.046109252031133,9.338425645035446,11.858699427523584,11.58074688657632,11.335865072560898,9.694172797118021,37.99567033270732
34589,21.673615197447617,46.20538439211622,6.2762157455664545,46.35962178610244,35.52729322881646,8.983801886363214,40.71486803449764,33.03360587318491,12.113816597148412,11.434152529934078,15.85646084750778
34608,5.213935731461455,15.16529890796905,6.606542890069952,11.955902460626419,9.42738984941567,5.555772219198303,10.672829484771228,8.163477313488226,10.669049480057316,10.688446930155768,23.934280524540043
34612,1.840212611104043,12.149976318080464,6.05599764923079,18.909845728541782,9.776552436431064,1.7731187933611605,13.637504341652123,6.6446908365601836,6.557019992951893,5.717076264967039,6.482200975396262
34699,8.280956749968194,24.211266677634796,5.2852343120559615,17.933853690939625,6.808670446800205,5.201148460526071,20.555079007707548,2.088331405776058,6.668155925035823,10.025597508130604,4.8865822737602596
34700,15.846275262284815,57.113757290830804,17.066902466014042,50.99558396471267,25.314287558616147,18.204019611841247,44.96423532936026,14.998016459664415,22.671730145121796,24.939709503696793,15.457556172098778
34706,11.245743734524707,106.600522148414,13.763631020979068,81.98333115858115,19.98955810663137,9.456633564592856,81.13326858330718,9.777187945224272,14.558807102994878,22.288311815596135,14.161115977019525
34712,16.050743330185263,43.72217755338444,13.8737400691469,45.13963173909974,22.870149449508382,17.021940416267142,45.6559927959658,19.269603426024535,18.22629286176458,17.64836586141999,14.360568314724027
34830,2.65808488270584,2.5718927972579086,9.57948719060143,8.05193431021779,2.5314287558616146,11.466168197068837,6.621107180367335,0.5695449288480158,10.780185412141245,7.871336886548821,24.831816044210296
34837,5.009467663561006,11.972604401028194,2.2021809633566507,15.127876582833427,1.5712316415692782,2.127742552033393,10.475184494312499,1.6137106317360446,6.001340332532241,6.959918931264221,23.036745004869793
34839,9.507765157370889,4.966413677463548,2.3122900115244835,1.5859870611035043,2.7060100493693127,5.437564299640892,2.5693848759634434,1.5187864769280421,9.779962023385874,4.142808887657274,36.49977779992357
34896,6.134042037013477,15.16529890796905,13.543412924643402,14.517881559332078,14.926700594908144,8.865593966805802,14.230439313028302,12.34014012504034,12.891768121735923,19.056920883223462,247.91925576669396
34903,9.405531123420664,14.455811239759969,12.552431491132909,33.42772728787386,15.10128188841584,10.520504840609552,25.891493750093158,9.967036254840275,1.1113593208393038,39.27382825499096,470.6077908137686
34910,34.96403961097682,87.17829723119048,30.720424438825276,86.25329632309058,24.61596238458536,22.577712635465446,78.9591736882612,28.9518672164408,29.33988607015762,27.591107191797445,31.114564681902056
34955,135.56232901799783,372.7470836853445,90.3995285457905,259.49188299747334,140.9743945074658,82.74554369018749,309.1167650774481,99.10081761955475,118.35976766938585,151.04681204398423,190.07807783238886
34959,61.0337182682841,152.80590654053023,48.77830833834981,140.29885540531,96.63074595651061,55.55772219198303,135.8809309403744,58.758051826153626,66.68155925035822,73.65914202254635,44.67732364580808
34960,14.823934922782568,41.32765667317881,18.938756284867196,37.57569344768303,37.97143133792422,26.478573980859995,65.12402435615036,33.88792326645694,22.671730145121796,40.59952709904129,19.247150588484285
34966,10.836807598723809,376.383207984916,10.90079576861542,322.687367432213,11.260493431246495,1.7731187933611605,357.1444977589186,16.516802936592455,5.667932536280449,23.282585948633884,104.9119296325672
